,source,claim,verdict,qoute,date,scrape_date
0,Carol Miller,"""Just two weeks ago, Customs and Border Protection seized enough fentanyl to kill every person in West Virginia 32 times over.""",mostly-true,The math checks out,2019-03-06,2019-04-23 16:46:59.202091
0,E. Gordon Gee,"West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",true,It's been lowest for a long time,2019-02-27,2019-04-23 16:46:59.203635
0,Shelley Moore Capito,"""Thanks to successful federal, state, and local efforts, preliminary statistics show opioid overdose deaths are down 8.5% in West Virginia.""",half-true,Data needs disentangling,2019-02-21,2019-04-23 16:46:59.205364
0,Joe Manchin,"The partial government shutdown in early 2019 affected ""18,000 federal employees in West Virginia.""",mostly-true,Not all affected in same way,2019-02-20,2019-04-23 16:46:59.206967
0,Patrick Morrisey,"Obamacare premiums ""have gone up 160 percent in West Virginia in 4 yrs.""",mostly-true,"UPDATED: Not that big, but fairly close",2019-02-07,2019-04-23 16:46:59.208526
0,West Virginia Democratic Party,"""FACT: Unemployment rate has not decreased since @WVGovernor took office.""",barely-true,"It's decreased, by a small amount",2019-02-04,2019-04-23 16:46:59.210099
0,Shelley Moore Capito,"""Our economy is growing at its fastest pace in nearly four years. Unemployment is at an all-time low.""",mostly-true,"Lowest in 50-odd years, anyway",2019-02-04,2019-04-23 16:46:59.211630
0,Joe Manchin,"""President Trump has the strongest support percentage-wise in our state than any other state in the nation. He won West Virginia by almost 43 percentage points and he's been carrying close to 60 percent approval.""",mostly-true,A few states cluster at the top,2019-01-28,2019-04-23 16:46:59.213154
0,Jim Justice,"""As of September 2018, there are 6,683 WV children in foster care — 1,415 of whom are legally eligible for adoption.""",mostly-true,Not far off,2019-01-10,2019-04-23 16:46:59.214711
0,Jim Justice,"""WV's tourism industry grew at a rate 30% above the national rate in 2017. This increase reversed a four-year decline in which travel-generated spending fell more than $600 million.""",mostly-true,"Yes, though not all stats were as strong",2018-12-14,2019-04-23 16:46:59.216236
0,Mike Romano,"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade.""",true,"W.Va. has fallen, U.S. has risen",2018-12-12,2019-04-23 16:46:59.411243
0,Jim Justice,"""Hunters contribute more than $500 million"" to West Virginia.",mostly-true,An old estimate,2018-12-10,2019-04-23 16:46:59.412952
0,Mike Romano,"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",true,Unfortunate achievement,2018-12-10,2019-04-23 16:46:59.414497
0,Mike Romano,"""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.""",true,An unflattering achievement,2018-12-07,2019-04-23 16:46:59.415995
0,Paul Espinosa,"""From 1990 to 2015 under (Democratic) control, W. Va. teacher pay rank plummeted from 30th in the nation to 48th.""",barely-true,Decline wasn't as dramatic,2018-12-07,2019-04-23 16:46:59.417634
0,Richard Ojeda,"At General Motors, CEO Mary Barra ""took home almost 22 MILLION DOLLARS last year alone (295x your company's average employee).""",true,The figures check out,2018-12-06,2019-04-23 16:46:59.419270
0,David McKinley,"The United States ""spends more on potato chips than we do on ALL energy R&D.""",true,Overlooking the energy crunch?,2018-12-06,2019-04-23 16:46:59.420857
0,Roman Prezioso,"""Fifty percent of our (West Virginia) budget was for lower education.""",mostly-true,That's in the ballpark,2018-12-06,2019-04-23 16:46:59.422398
0,Joe Manchin,"The United States imports ""50 percent of at least 50 mineral commodities each year, including 100 percent of 21 of them.""",mostly-true,Just one wording tweak away from correct,2018-12-03,2019-04-23 16:46:59.423926
0,David McKinley,"""Last year we had the eighth fastest-growing economy in the country in West Virginia.""",barely-true,Updated data says 19th,2018-11-29,2019-04-23 16:46:59.425546
0,West Virginia Republican Party,"""Middle-class income rose to a record level in 2017 as the strong economy lifted the fortunes of more Americans.""",true,Better than ever,2018-11-15,2019-04-23 16:46:59.427531
0,Richard Ojeda,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",true,A grim but accurate comparison,2018-11-15,2019-04-23 16:46:59.429076
0,Donald Trump,"""Even in California now, they don’t want to be sanctuary cities anymore. They want out.""",barely-true,Majority of those polled are in support,2018-11-15,2019-04-23 16:46:59.430618
0,Patrick Morrisey,"Says Joe Manchin ""refused to commit to Kavanaugh until AFTER the Senate had the votes.""",true,A late decider,2018-11-15,2019-04-23 16:46:59.432145
0,West Virginia Republican Party,"""What did Joe Manchin say about civility? Today, he said he wanted to ‘beat the living crap out of’ his Republican opponent during their debate.""",mostly-true,Leaves out part of the remark,2018-11-05,2019-04-23 16:46:59.433673
0,Patrick Morrisey,"Says Joe Manchin ""supported Obama and Clinton's campaigns to kill coal jobs.""",false,Opposed their two biggest initiatives,2018-11-05,2019-04-23 16:46:59.435205
0,West Virginia Republican Party,"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",true,No. 1 of 50 states,2018-11-02,2019-04-23 16:46:59.436734
0,Donald Trump,"""Household income among Hispanic Americans has just set a new record high.""",true,It's a new high,2018-11-01,2019-04-23 16:46:59.438379
0,Kendra Fershee,"""Poverty in WV is more than 5% higher than the national average.""",mostly-true,"5 percentage points, not percent",2018-11-01,2019-04-23 16:46:59.439960
0,E. Gordon Gee,"In public approval, ""the press is rated right now below that of Congress, and that is very low; it’s in the single digits.""",false,"Nope, Congress is lower",2018-10-29,2019-04-23 16:46:59.441769
0,Jim Justice,"""Thousands of folks are opening West Virginia E-ZPass accounts.""",true,The numbers check out,2018-10-24,2019-04-23 16:46:59.603285
0,Joe Manchin,"""Black lung cases are at a 25-year high.""",true,Rate has climbed since 1990,2018-10-23,2019-04-23 16:46:59.605149
0,Donald Trump,"""The poverty rates for African Americans and Hispanic Americans -- it’s been incredible, they’ve all reached their lowest levels in the history of our country.""",true,Best since record-keeping began,2018-10-23,2019-04-23 16:46:59.606710
0,Joe Manchin,"West Virginia has ""more veterans per capita"" than any state.",false,Not even in top five,2018-10-11,2019-04-23 16:46:59.608584
0,David McKinley,"In West Virginia, ""personal income tax collections (were) up 14% from 2017.""",true,Increase is third highest this century,2018-10-11,2019-04-23 16:46:59.610195
0,Joe Manchin,"Says Patrick Morrisey undertook ""efforts to put educators in jail.""",false,Unlawful does not mean criminal,2018-10-11,2019-04-23 16:46:59.611781
0,Joe Manchin,"""I voted to fund President Trump’s wall.""",mostly-true,Sided with Trump on key vote,2018-10-05,2019-04-23 16:46:59.613359
0,Patrick Morrisey,"Sen. Joe Manchin ""stands with Hillary Clinton and D.C. Dems on gun control, higher taxes, amnesty, and Planned Parenthood.""",half-true,"Some support, but missing details",2018-10-04,2019-04-23 16:46:59.614938
0,Donald Trump,"""The United States is now the No. 1 energy producer in the world. That happened just recently.""",half-true,Not exactly new,2018-10-04,2019-04-23 16:46:59.616503
0,National Republican Senatorial Committee,"Says Sen. Joe Manchin has a ""$700,000 D.C. luxury yacht.""",half-true,Price documentation varies,2018-09-28,2019-04-23 16:46:59.618123
0,Patrick Morrisey,"""Joe Manchin has a ‘D' rating from the NRA.""",mostly-true,Correct for 2018; better scores earlier,2018-09-28,2019-04-23 16:46:59.619720
0,E. Gordon Gee,"West Virginia University’s incoming freshman class has the ""highest-ever GPA""",mostly-true,A steady rise in recent years,2018-09-28,2019-04-23 16:46:59.621298
0,Patrick Morrisey,"Says he ""beat (President Barack) Obama at the Supreme Court, saving coal jobs.""",mostly-true,A leader in key litigation,2018-09-20,2019-04-23 16:46:59.622890
0,West Virginia Republican Party,"""In 2017, the number of new business registrations in West Virginia grew nearly 11 percent (8,318 new businesses registered for the year). This comes off the heels of a 12 percent increase in new business registrations during 2016.""",mostly-true,Doesn't factor in business closures ,2018-09-20,2019-04-23 16:46:59.624474
0,Jim Justice,"""According to SCUBA divers, Summersville Lake is the clearest freshwater lake east of the Mississippi River.""",barely-true,No comprehensive study,2018-09-13,2019-04-23 16:46:59.626047
0,Patrick Morrisey,"Says Joe Manchin ""strongly supported and voted for Hillary Clinton after she said, ‘We’re going to put a lot of coal miners and coal companies out of work.’""",mostly-true,Expressed his concern but stuck by her,2018-09-13,2019-04-23 16:46:59.627963
0,West Virginia Republican Party,"""Thanks to President Trump and Republicans over the past year through July, U.S. manufacturing added 327,000 jobs, the most of any 12-month period since April 1995, when the figure added a healthy 345,000 positions.""",mostly-true,Manufacturing job growth has been strong,2018-09-06,2019-04-23 16:46:59.629636
0,Beto O'Rourke,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""",mostly-true,Needs context,2019-04-23,2019-04-23 16:47:00.006540
0,Mark Warner,"Other than University of Virginia’s 2019 basketball team, ""We’ve not had a Virginia team even in the Final Four in over a decade. I think George Mason was the last one…""",false,Remember the Rams,2019-04-16,2019-04-23 16:47:00.008323
0,Terry McAuliffe,On a bill that would have eased third-trimester abortion resrictions,full-flop,Took two opposite positions,2019-04-09,2019-04-23 16:47:00.009884
0,Kaye Kory,"""Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.""",false,Bad timing,2019-04-02,2019-04-23 16:47:00.011583
0,Terry McAuliffe,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",barely-true,Ignores inflation,2019-03-26,2019-04-23 16:47:00.013165
0,Levar Stoney,On tax increases.,half-flip,"Largely consistent record, but...",2019-03-19,2019-04-23 16:47:00.014725
0,Bobby Scott,"""Women earn on average 80-cents on the dollar compared to white men doing similar jobs.""",mostly-true,Not just bias at play,2019-03-13,2019-04-23 16:47:00.016293
0,Chris Jones,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control.""",true,Pans out,2019-03-05,2019-04-23 16:47:00.018071
0,Morgan Griffith,"""Our country has succeeded in reducing greenhouse emissions in previous years.""",half-true,Emissions went up last year,2019-02-26,2019-04-23 16:47:00.019685
0,Donald Trump,"Says Gov. Ralph Northam ""stated that he would even allow a newborn baby to come out into the world... then talk to the mother and talk to the father and then execute the baby.""",false,Puts words in Northam's mouth,2019-02-20,2019-04-23 16:47:00.021275
0,Bobby Scott,"""Today’s minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",true,Worth 28 percent less than 60's average,2019-02-13,2019-04-23 16:47:00.022858
0,Kathy Tran,"""Right now, women are able to access an abortion in the later stages of their pregnancy under certain conditions with approval of their medical doctors. I’ve done nothing to change that.""",false,She did seek change,2019-02-06,2019-04-23 16:47:00.024766
0,Eileen Filler-Corn,"""There is no tax increase in the governor’s budget plan.""",barely-true,Looks and works like a tax hike,2019-01-29,2019-04-23 16:47:00.026402
0,Ralph Northam,"On extreme-risk guns laws, ""This idea has passed Republican legislatures in other states and has been signed by Republican governors.""",true,On the mark,2019-01-23,2019-04-23 16:47:00.027994
0,Tim Kaine,"""We took a deal to the president just last February, less than a year ago -- $25 billion over 10 years in border security done the right way - and the president blew up the deal.""",mostly-true,"Trump called proposal a ""total catastrophe""",2019-01-15,2019-04-23 16:47:00.029573
0,Jerry Falwell Jr.,"""This midterm (election), the president did better than the average president does in his first midterms.""",false,GOP lost 38 seats in Congress,2019-01-08,2019-04-23 16:47:00.031154
0,Mark Herring,On resigning as attorney general if he decides to run for governor.,no-flip,Criticism is premature,2018-12-18,2019-04-23 16:47:00.032736
0,Terry McAuliffe,"During his governorship: ""Every single city and county in Virginia, their unemployment dropped, and in most of the rural communities, it dropped more than 50 percent.""",mostly-true,Slightly off on rural communities,2018-12-04,2019-04-23 16:47:00.034400
0,Clean Virginia,"""Virginians pay the 11th-highest power bills in the nation.""",half-true,"High usage, not rates, drive the big bills",2018-11-27,2019-04-23 16:47:00.036113
0,Rob Wittman,"Says ""85 percent (of immigrants) don’t show up for a scheduled court hearing or call to schedule a court hearing.""",false,He's since modified his claim,2018-11-13,2019-04-23 16:47:00.037663
0,Dave Brat,"On Abigail Spanberger: ""She got $2.2 million from ActBlue...That is the George Soros resistance group.""",pants-fire,"""Six degrees of separation"" theory ",2018-11-02,2019-04-23 16:47:00.179352
0,Dave Brat,"Abigail Spanberger ""wants a tax increase of $32 trillion - that’s with a `T,’ to pay for her socialist health care plan.""",false,She opposes Bernie Sanders' plan,2018-10-23,2019-04-23 16:47:00.181096
0,Abigail Spanberger,"Says Dave Brat ""voted against protecting pre-existing conditions.""",half-true,There's more to this story,2018-10-11,2019-04-23 16:47:00.182668
0,Corey Stewart,"Tim Kaine: ""opposes everything President Trump does.""",mostly-true,Not far off,2018-09-26,2019-04-23 16:47:00.184348
0,Tim Kaine,"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",true,No doubt,2018-09-25,2019-04-23 16:47:00.186062
0,Corey Stewart,"""It is only under President Trump that we have become the largest producer of oil and gas resources.""",false,Started under Obama,2018-09-11,2019-04-23 16:47:00.187650
0,Larry Pratt,"Says President Barack Obama ""has not condemned"" shootings targeting police.",pants-fire,Obama has done so repeatedly,2016-12-27,2019-04-23 16:47:00.189241
0,Bryce Reeves,"""If you’re a single mom, and you’ve two kids in the city of Richmond, you can almost make $50,000 a year on the public dole.""",mostly-true,"In some cases, it's almost $40,000",2016-12-19,2019-04-23 16:47:00.191322
0,Newt Gingrich,"""We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.""",true,Life expectancy was 62 back then,2016-12-12,2019-04-23 16:47:00.192933
0,Terry McAuliffe,"""We would be just like North Carolina with HB2-like (transgender bathroom) legislation. It actually passed our chamber and I vetoed it.""",barely-true,Misleading claim,2016-12-05,2019-04-23 16:47:00.194530
0,Donald Trump,"There was ""serious voter fraud"" in Virginia.",pants-fire,No evidence,2016-11-29,2019-04-23 16:47:00.196119
0,Don Beyer,"""We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20.""",false,Not even close,2016-11-28,2019-04-23 16:47:00.197741
0,Corey Stewart,"Ed Gillespie ""would not mention (Donald Trump’s) name unless he was condemning him.""",false,Gillespie said he'd vote for Trump,2016-11-21,2019-04-23 16:47:00.199327
0,Pat Robertson,"Margaret Sanger ""wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.""",pants-fire,Inventing history,2016-11-14,2019-04-23 16:47:00.200898
0,Kai Degner,"""The Declaration of Independence was written on paper made out of hemp.""",false,Oft-told myth,2016-11-07,2019-04-23 16:47:00.202494
0,Michelle Mosby,"Joe Morrissey ""has been a delegate in the General Assembly for eight years with no laws passed to help our black community with education or workforce.""",half-true,Somewhat overstated ,2016-11-01,2019-04-23 16:47:00.204040
0,Levar Stoney,"""Jack Berry voted for a plan to cut $23.8 million from our schools.""",barely-true,Many missing details,2016-10-31,2019-04-23 16:47:00.205655
0,Levar Stoney,"As executive director of the Democratic Party of Virginia there were ""300 people on my payroll in 2008.""",half-true,Then it shrank to eight,2016-10-25,2019-04-23 16:47:00.207253
0,Joe Morrissey,"The city of Richmond ""built the second richest team in the NFL a $14 million stadium.""",half-true,Loose on details,2016-10-24,2019-04-23 16:47:00.208842
0,National Rifle Association,"Hillary Clinton said gun confiscation ""would be worth considering.""",barely-true,Stretch of words,2016-10-17,2019-04-23 16:47:00.210460
0,Mark Warner,"Donald Trump has said ""nuclear proliferation is OK.""",half-true,An overstatement ,2016-10-11,2019-04-23 16:47:00.429149
0,Tim Kaine,"Donald Trump says ""that NATO is obsolete and that we need to get rid of NATO...""",barely-true,Trump wants NATO to change,2016-10-10,2019-04-23 16:47:00.430940
0,Tim Kaine,"""Richard Nixon released tax returns when he was under audit.""",true,Audit left Nixon with hefty tax bill,2016-10-05,2019-04-23 16:47:00.432525
0,Mike Pence,"Says Tim Kaine ""actually tried to raise taxes by about $4 billion.""",mostly-true,A bit high,2016-10-04,2019-04-23 16:47:00.434110
0,Virginia First Foundation,"""The Virginia population increased by just 8 percent from 2005 to 2015, but the per capita spending in the budget increased by a whopping 38 percent.""",half-true,Spending controlled by state legislators was less ,2016-10-03,2019-04-23 16:47:00.435686
0,Chain email,"On Tim Kaine: ""In exchange for campaign contributions, he appointed a radical jihadi to the Virginia Immigration Commission.""",false,Return to sender,2016-10-03,2019-04-23 16:47:00.437259
0,Jack Berry,"In Richmond, Va., there’s ""more moving vans coming in than going out.""",mostly-true,According to most statistics,2016-09-26,2019-04-23 16:47:00.438839
0,Republican National Committee,"""Tim Kaine hiked tuition as governor, but now claims to champion affordability.""",half-true,Colleges raised them; Kaine went along,2016-09-19,2019-04-23 16:47:00.440521
0,Tim Kaine,"""When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate.""",true, Gadhafi a no-show,2016-09-15,2019-04-23 16:47:00.442173
0,Donald Trump,"Barack Obama has ""doubled our national debt. Doubled it. It's going to be close to $20 trillion when he leaves.""",half-true,Lots of blame to share,2016-09-12,2019-04-23 16:47:00.443711
0,Gary Johnson,"""Undocumented workers crossing the border right now is at a 12-year low.""",mostly-true,Border apprehensions down over 12 years,2016-09-06,2019-04-23 16:47:00.445250
0,Tim Kaine,On drilling off the Atlantic coast,full-flop,Now backs Clinton's position to ban drilling,2016-08-29,2019-04-23 16:47:00.446789
0,Donald Trump,"As governor, Tim Kaine ""oversaw a huge increase in illegal immigration, a tremendous increase.""",false,Illegal immigration flat while Kaine was governor,2016-08-29,2019-04-23 16:47:00.448344
0,Tim Kaine,"""Even Richard Nixon released his tax returns to the public when he was running for president ...""",barely-true,"Nixon released tax returns while president, not on campaign trail",2016-08-22,2019-04-23 16:47:00.450056
0,Scott Rigell,"""At $587 apiece, USA would need to bring home about 33.1 BILLION gold medals to pay off our national debt.""",mostly-true,Calling Michael Phelps,2016-08-19,2019-04-23 16:47:00.451823
0,Mike Pence,"The Obama administration has been ""raising taxes.""",half-true,"Obama raised some levies, extended cuts on other taxes",2016-08-16,2019-04-23 16:47:00.453408
0,Tim Kaine,"Says his father-in-law, former Gov. Linwood Holton, ""integrated Virginia public schools.""",half-true,Holton played big symbolic role,2016-08-15,2019-04-23 16:47:00.454991
0,Tim Kaine,"Donald Trump says ""all Mexicans are rapists.""",false,Trump never said that,2016-08-08,2019-04-23 16:47:00.456564
0,Dave Brat,"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""",false,No meat,2016-08-02,2019-04-23 16:47:00.458139
0,Tim Kaine,"""We fixed a loophole in the (gun) background record check system so that we could make our commonwealth safer.""",true,Moved quickly after Virginia Tech tragedy,2016-07-29,2019-04-23 16:47:00.459875
0,Donald Trump,"In first week as governor, Tim Kaine ""proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.""",mostly-true,That's $4 billion over four years,2016-07-28,2019-04-23 16:47:00.616845
0,Corey Stewart,"Says Hillary Clinton and Ralph Northam ""label police as racists.""",barely-true,Exaggerated for Clinton; baseless for Northam,2016-07-26,2019-04-23 16:47:00.618820
0,Donald Trump,"On gift taking, ""Bob McDonnell took a fraction of what (Tim) Kaine took.""",pants-fire,You mean the other way around?,2016-07-24,2019-04-23 16:47:00.620434
0,Hillary Clinton,"""I am the only candidate who ran in either primary who said, ‘I will not raise taxes on the middle class.’""",pants-fire,Not counting 15 Republicans,2016-07-23,2019-04-23 16:47:00.622018
0,Tim Kaine,"Says Donald Trump is ""against minimum wage.""",barely-true,Trump says states should set wage ,2016-07-19,2019-04-23 16:47:00.623606
0,Donald Trump,"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""",true,Cites new VA data,2016-07-14,2019-04-23 16:47:00.625179
0,Mark Warner,"Says Donald Trump has ""bankrupt four separate businesses.""",mostly-true,A conservative number,2016-07-11,2019-04-23 16:47:00.626767
0,Mark Warner,"""The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months.""",mostly-true,Demand for fast profits,2016-07-06,2019-04-23 16:47:00.628353
0,Pat Robertson,"President Barack Obama attended  ""an Islamic madrassa.""",barely-true,Plays with definitions of 'madrassa' ,2016-07-05,2019-04-23 16:47:00.629934
0,Thomas Perez,"""If you are a member of  union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesn’t include benefits.""",true,But not with all professions,2016-06-29,2019-04-23 16:47:00.631514
0,Bryce Reeves,"Gov. Terry McAuliffe ""has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.""",false,Mixing Hillary and Bill,2016-06-27,2019-04-23 16:47:00.633095
0,Thomas Perez,"""Go look at a Trump product. They’re all made in China.""",barely-true,An overstatement,2016-06-27,2019-04-23 16:47:00.634682
0,Donald Trump,Says the unemployment rate for African-American youths is 59 percent.,barely-true,Statistical sleight of hand,2016-06-20,2019-04-23 16:47:00.636220
0,Rob Wittman,"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",false,"All bark, no bite",2016-06-14,2019-04-23 16:47:00.637829
0,Dave Brat,"""The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.""",true,Many reasons for slide,2016-06-13,2019-04-23 16:47:00.639455
0,Levar Stoney,"Virginia’s banning of felons from voting is a ""Jim Crow-era law.""",false,Predates Jim Crow by five decades,2016-06-06,2019-04-23 16:47:00.641047
0,National Federation of Independent Business-Virginia,"""The vast majority of minimum wage workers get a raise within a year.""",half-true,This majority isn't 'vast' ,2016-06-02,2019-04-23 16:47:00.642726
0,Nikki Haley,"""More people today are leaving Virginia than moving in.""",mostly-true,Doesn't count newly settled foreigners ,2016-05-31,2019-04-23 16:47:00.644313
0,Randy Forbes,"Says Virginia Republican ""Scott Taylor has been convicted in at least four different courts across the country, at times failing to even appear, and having a warrant issued for his arrest.""",half-true,A driving issue,2016-05-23,2019-04-23 16:47:00.645891
0,NARAL Pro-Choice Virginia,"""One in three American women will have had an abortion by the time she reaches the age of 45.""",half-true,2008 estimate may be past prime ,2016-05-23,2019-04-23 16:47:00.647436
0,Mamie Locke,"""The United States has a low voter turnout rate.""",true,"Low registration rate, too",2016-05-16,2019-04-23 16:47:00.821035
0,Ken Cuccinelli,"Half of illegal immigrants ""come on legal visas and then overstay.""",mostly-true,Estimates vary,2016-05-16,2019-04-23 16:47:00.822834
0,Ed Gillespie,"""For the first time in over 40 years, Republicans don’t hold a single statewide office"" in Virginia.",true,Goin' back to Woodstock,2016-05-12,2019-04-23 16:47:00.824437
0,Terry McAuliffe,"Before April 22, ""we have restored the rights of more than 18,000 individuals, which is more than the past seven governors combined in their four-year terms.""",true,He's right,2016-05-09,2019-04-23 16:47:00.826035
0,Randy Forbes,"China is ""going to have twice the number of submarines we have in just over a decade.""",half-true,Not water tight,2016-05-02,2019-04-23 16:47:00.827740
0,Kirk Cox,"""In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms.""",true,Governor says they were bad bills,2016-05-02,2019-04-23 16:47:00.829333
0,Bob Goodlatte,"""Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.""",mostly-true,"Often said, but shy of 22 times ",2016-04-25,2019-04-23 16:47:00.830937
0,Jack Berry,"Richmond teachers have not gotten a raise ""for almost 10 years.""",barely-true,Five raises in 10 years,2016-04-18,2019-04-23 16:47:00.832523
0,Don Beyer,"""But for immigrants, we would have a contracting population...""",barely-true,"Not now, maybe in 30 years",2016-04-18,2019-04-23 16:47:00.834099
0,Mira Signer,"States with ""the highest gun ownership rates also have the highest suicide rates.""",true,"Wyoming, Alaska and Montana",2016-04-11,2019-04-23 16:47:00.835689
0,John Whitbeck,"Supreme Court nominee Merrick Garland ""voted to uphold"" D.C.’s ban on handguns.",false,Garland didn't hear the case,2016-04-04,2019-04-23 16:47:00.837274
0,Don Beyer,"""Over 97 percent of the scientific community … believe that humans are contributing to climate change.""",mostly-true,"Very, very warm",2016-04-04,2019-04-23 16:47:00.838845
0,Mark Herring,"""Since 1900, six (U.S. Supreme Court) justices have been confirmed during election years, including Justice Anthony Kennedy, who was confirmed in the final year of the Reagan Administration.""",true,Right number,2016-03-29,2019-04-23 16:47:00.840407
0,Terry McAuliffe,"""Virginia now is the number one exporter of (agricultural) products to Cuba. We have now jumped to number one.""",true,Millions of dollars in soybeans,2016-03-24,2019-04-23 16:47:00.841956
0,Donald Trump,"The Trump Winery near Charlottesville, Va. is the ""largest winery on the East Coast.""",false,Hard to squeeze truth from this claim,2016-03-21,2019-04-23 16:47:00.843499
0,Mark Herring,"""Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing.""",barely-true,Not an open and shut case,2016-03-20,2019-04-23 16:47:00.845079
0,Donald Trump,"The U.S. ""doesn’t make television sets anymore.""",true,No 'Made in USA' sets,2016-03-14,2019-04-23 16:47:00.846663
0,Bernie Sanders,"""The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.""",true,The Waltons are loaded,2016-03-14,2019-04-23 16:47:00.848185
0,Bill Clinton,"""Every year there is a slightly smaller percentage of American households owning guns.""",half-true,Not every year,2016-03-07,2019-04-23 16:47:00.849700
0,Bernie Sanders,"""We work longer hours than any people in the industrialized world, including the Japanese.""",barely-true,"Not No. 1, but up there",2016-02-29,2019-04-23 16:47:00.851401
0,Corey Lewandowski,"""Mr. Trump is self-financing his campaign, so we don’t have any donors.""",false,Trump has thousands of donors,2016-02-22,2019-04-23 16:47:01.023394
0,Bob Goodlatte,"""It’s highly unusual to have a Supreme Court confirmation in a presidential election year. The last one was 1940.""",half-true,Dismisses 1988,2016-02-22,2019-04-23 16:47:01.025183
0,Terry McAuliffe,"""Under Virginia law, if you are a non-federally licensed (gun) dealer, you cannot get a background check even if you want one.""",barely-true,"You can, but it's not easy",2016-02-15,2019-04-23 16:47:01.026915
0,John O'Bannon,"Says ""some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.""",false,No evidence of profit,2016-02-08,2019-04-23 16:47:01.028537
